COMPANY LIST,URL TERM
Insurance Australia Group,insurance-australia-group
Yara International,yara-international
XL Group,xl-group
Isuzu Motors,isuzu-motors
Magnit,magnit
Steinhoff International,steinhoff-international
Yum Brands,yum-brands
Ricoh,ricoh
AmerisourceBergen,amerisourcebergen
Atlantia,atlantia
Industrial Bank of Korea,industrial-bank-of-korea
DTE Energy,dte-energy
Toray Industries,toray-industries
Northeast Utilities,northeast-utilities
First Gulf Bank,first-gulf-bank
Seagate Technology,seagate-technology
VimpelCom,vimpelcom
Ooredoo Telecom,ooredoo-telecom
China Cinda Asset Management,china-cinda-asset-management
Ingersoll-Rand,ingersoll-rand
PTT Global Chemical,ptt-global-chemical
Sanlam,sanlam
Banco de Sabadell,banco-de-sabadell
Li & Fung,li-&-fung
Liberty Interactive,liberty-interactive
Henderson Land,henderson-land
CSR,csr
Erste Group Bank,erste-group-bank
Scor,scor
China Steel,china-steel
Technip,technip
GD Power Development,gd-power-development
Nucor,nucor
Hilton Worldwide Holdings,hilton-worldwide-holdings
China Coal Energy,china-coal-energy
Nan Ya Plastics,nan-ya-plastics
Midea Group Co. Ltd.,midea-group-co.-ltd.
New World Development,new-world-development
Gap,gap
Sekisui House,sekisui-house
Daiichi Sankyo,daiichi-sankyo
CRH,crh
Idemitsu Kosan,idemitsu-kosan
Bangkok Bank,bangkok-bank
Westfield Group,westfield-group
KeyCorp,keycorp
DaVita,davita
Yahoo,yahoo
Kansai Electric Power,kansai-electric-power
National Bank of Kuwait,national-bank-of-kuwait
Deutsche Boerse,deutsche-boerse
Veolia Environnement,veolia-environnement
Mobily,mobily
Marks & Spencer,marks-&-spencer
Samba Financial Group,samba-financial-group
Baidu,baidu
Resolution,resolution
Northern Trust,northern-trust
Infosys,infosys
American Airlines Group,american-airlines-group
Fujitsu,fujitsu
Wheelock & Co,wheelock-&-co
Dentsu,dentsu
Wolseley,wolseley
Citic Securities,citic-securities
Williams Cos,williams-cos
QBE Insurance Group,qbe-insurance-group
Riyad Bank,riyad-bank
Mitsubishi Chemical,mitsubishi-chemical
Solvay,solvay
Japan Airlines,japan-airlines
Dongfeng Motor Group,dongfeng-motor-group
Bombardier,bombardier
Devon Energy,devon-energy
Galaxy Entertainment,galaxy-entertainment
Luxottica Group,luxottica-group
"Becton, Dickinson","becton,-dickinson"
Grupo Inbursa,grupo-inbursa
Alcoa,alcoa
Thomson Reuters,thomson-reuters
Best Buy,best-buy
West Japan Railway,west-japan-railway
Canadian Pacific Railway,canadian-pacific-railway
BRF-Brasil Foods,brf-brasil-foods
Fosun International,fosun-international
Allergan,allergan
Citic Pacific,citic-pacific
Chinatrust Financial,chinatrust-financial
Allied Irish Banks,allied-irish-banks
TRW Automotive Holdings,trw-automotive-holdings
Metallurgical Corp of China,metallurgical-corp-of-china
Bunge,bunge
Kao Corp,kao-corp
IDGC Holding,idgc-holding
Kering,kering
Hyundai Steel,hyundai-steel
Emirates NBD,emirates-nbd
LG Electronics,lg-electronics
Motorola Solutions,motorola-solutions
Telekom Indonesia,telekom-indonesia
Noble Energy,noble-energy
EnBW-Energie Baden,enbw-energie-baden
Barrick Gold,barrick-gold
Cognizant Technology,cognizant-technology
International Airlines,international-airlines
Mercantil Servicios,mercantil-servicios
Peugeot,peugeot
Murata Manufacturing,murata-manufacturing
Cencosud,cencosud
Tyco International,tyco-international
Chubu Electric Power,chubu-electric-power
Skanska,skanska
L-3 Communications,l-3-communications
Leucadia National,leucadia-national
VMware,vmware
Kuehne + Nagel,kuehne-+-nagel
Eastman Chemical,eastman-chemical
LG Display,lg-display
Cemex,cemex
Shimao Property Holdings,shimao-property-holdings
Saudi British Bank,saudi-british-bank
Cameron International,cameron-international
Mediolanum,mediolanum
Discovery Communications,discovery-communications
China Yangtze Power,china-yangtze-power
Punjab National Bank,punjab-national-bank
China CNR,china-cnr
Grupa PZU,grupa-pzu
Capgemini,capgemini
Krung Thai Bank,krung-thai-bank
Republic Services,republic-services
Bank of Baroda,bank-of-baroda
Sinohydro Group,sinohydro-group
Mahindra & Mahindra,mahindra-&-mahindra
San Miguel,san-miguel
Valeo,valeo
RTL Group,rtl-group
Longfor Properties,longfor-properties
Vienna Insurance Group,vienna-insurance-group
Goodyear,goodyear
KPN,kpn
AES,aes
Fluor,fluor
Abu Dhabi Commercial Bank,abu-dhabi-commercial-bank
Weyerhaeuser,weyerhaeuser
Mylan,mylan
Bank of East Asia,bank-of-east-asia
Ensco,ensco
AntarChile,antarchile
HollyFrontier,hollyfrontier
Woori Finance Holdings,woori-finance-holdings
China Shipbuilding Industry,china-shipbuilding-industry
Bank Hapoalim,bank-hapoalim
Stanley Black & Decker,stanley-black-&-decker
SJM Holdings,sjm-holdings
ALFA,alfa
Dover,dover
Bed Bath & Beyond,bed-bath-&-beyond
UPM-Kymmene,upm-kymmene
ITC,itc
Waste Management,waste-management
Mega Financial Holding,mega-financial-holding
LG Corp,lg-corp
Invesco,invesco
American Capital Agency,american-capital-agency
Kone,kone
Pearson,pearson
Alcatel-Lucent,alcatel-lucent
Great Wall Motor,great-wall-motor
Lixil Group,lixil-group
Voestalpine,voestalpine
Hanwha Life Insurance,hanwha-life-insurance
Hertz Global Holdings,hertz-global-holdings
Galp Energia,galp-energia
Formosa Plastics,formosa-plastics
AutoZone,autozone
Eiffage,eiffage
Symantec,symantec
Wipro,wipro
Nielsen Holdings,nielsen-holdings
L Brands,l-brands
Origin Energy,origin-energy
UBI Banca,ubi-banca
Rakuten,rakuten
Fanuc,fanuc
Sherwin-Williams,sherwin-williams
Naspers,naspers
Actavis,actavis
Tokyu,tokyu
Royal Caribbean Cruises,royal-caribbean-cruises
Axiata Group,axiata-group
Datang International Power,datang-international-power
Essilor International,essilor-international
Assa Abloy,assa-abloy
Reed Elsevier,reed-elsevier
Constellation Brands,constellation-brands
SanDisk,sandisk
Applied Materials,applied-materials
Whole Foods Market,whole-foods-market
ICA Gruppen,ica-gruppen
HCP,hcp
Oi,oi
Bharat Heavy Electricals,bharat-heavy-electricals
Unipol Gruppo,unipol-gruppo
Kweichow Moutai,kweichow-moutai
TD Ameritrade Holding,td-ameritrade-holding
Grupo Televisa,grupo-televisa
Marriott International,marriott-international
Secom,secom
Genuine Parts,genuine-parts
Ross Stores,ross-stores
RusHydro,rushydro
