URL TERMS,COMPANY NAMES,SYNOMYM 1,SYNOMYM 2,SYNOMYM 3,SYNOMYM 4
deutsche-lufthansa,Deutsche Lufthansa,Lufthansa,,,
lufthansa,,,,,
falabella,Falabella,,,,
bankia,Bankia,,,,
potash-of-saskatchewan,Potash of Saskatchewan,,,,
sumitomo-electric,Sumitomo Electric,,,,
public-bank,Public Bank,,,,
alpha-bank,Alpha Bank,,,,
air-products-&-chemicals,Air Products & Chemicals,Air Products&Chemicals,,,
air-products&chemicals,,,,,
sumitomo-realty,Sumitomo Realty,,,,
publicis-groupe,Publicis Groupe,,,,
entergy,Entergy,,,,
asml-holding,ASML Holding,ASML,,,
asml,,,,,
slm,SLM,,,,
conagra-foods,ConAgra Foods,ConAgra,,,
reynolds-american,Reynolds American,,,,
china-resources-power,China Resources Power,,,,
samsung-fire-&-marine,Samsung Fire & Marine,Samsung Fire&Marine,,,
samsung-fire&marine,,,,,
unum-group,Unum Group,Unum,,,
unum,,,,,
sime-darby,Sime Darby,,,,
george-weston,George Weston,,,,
evergrande-real-estate,Evergrande Real Estate,,,,
agrium,Agrium,,,,
mosaic,Mosaic,,,,
anhui-conch-cement,Anhui Conch Cement,Anhui Conch,,,
teck-resources,Teck Resources,,,,
banco-popular-espanol,Banco Popular Espanol,,,,
swatch-group,Swatch Group,Swatch,,,
swatch,,,,,
national-bank-of-greece,National Bank of Greece,NBG,,,
nbg,,,,,
stryker,Stryker,,,,
delphi-automotive,Delphi Automotive,,,,
spectra-energy,Spectra Energy,,,,
tyson-foods,Tyson Foods,,,,
firstenergy,FirstEnergy,,,,
sodexo,Sodexo,,,,
biogen-idec,Biogen Idec,,,,
abertis,Abertis,,,,
astellas-pharma,Astellas Pharma,,,,
m&t-bank,M&T Bank,M&T,,,
m&t,,,,,
murphy-oil,Murphy Oil,,,,
formosa-chemicals,Formosa Chemicals,,,,
hyundai-heavy-industries,Hyundai Heavy Industries,,,,
